"","Study","Site","Pre_Date","Post_Date","Subsample","Treatment","Cage","FishID","Tag","Pre_FL_mm","Post_FL_mm","Lab_FL_mm","Pre_Weight_g","Post_Weight_g","Lab_Weight_g","Pre_CF","Post_CF","Lab_CF","Lab_LiverWeight_g","Lab_HSI","Glycogen","Post_CTM","CTM_Recovered","Comments"
"53","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N3",NA,NA,60,63,NA,1.38,1.3071,NA,0.638888888888889,0.522741724555783,0.0099,0.757401882028919,2.66089408388267,NA,NA,"Dead in bucket, stiff NA"
"54","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N4",NA,NA,52,55,NA,0.99,0.9458,NA,0.704085116067365,0.56847483095417,0.0061,0.644956650454642,3.32911370197956,NA,NA,"Dead in bucket, stiff NA"
"55","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N5",NA,NA,50,49,NA,0.88,0.8332,NA,0.704,0.70820831456281,0.006,0.72011521843495,2.87991604694653,NA,NA,"Dead in bucket, stiff NA"
"56","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N6",NA,NA,57,57,NA,1.4,1.2842,NA,0.755968098146258,0.693438736885303,0.0078,0.607382027721539,6.80362238923697,NA,NA,"Dead in bucket, stiff NA"
"57","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N7",NA,NA,53,57,NA,0.9,0.8806,NA,0.604525883783257,0.475503933733996,0.0051,0.579150579150579,1.72395396146043,NA,NA,"Dead in bucket, stiff NA"
"58","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N8",NA,NA,46,47,NA,0.63,0.6062,NA,0.647242541300238,0.583878331390925,0.005,0.824810293632465,5.55243474745701,NA,NA,"Dead in bucket, stiff NA"
"59","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N9",NA,NA,50,49,NA,0.75,0.7131,NA,0.6,0.606124998937517,0.0048,0.673117374842238,3.93472420465678,NA,NA,"Dead in bucket, stiff NA"
"60","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N10",NA,NA,53,53,NA,1.02,0.9747,NA,0.685129334954358,0.654701532137267,0.0061,0.62583358982251,3.82467318622081,NA,NA,"Dead in bucket, stiff NA"
"61","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N11",NA,NA,53,56,NA,1.12,1.0267,NA,0.752298877596942,0.584627824344023,0.0056,0.545436836466349,4.92294013469902,NA,NA,"Dead in bucket, stiff NA"
"62","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N12",NA,NA,45,47,NA,0.3,0.2999,NA,0.329218106995885,0.288856997004517,0.0031,1.03367789263088,1.33660892464966,NA,NA,"Dead in bucket, stiff NA"
