"","Cage","Pre_FL_cm","Pre_Weight_g","Pre_CF","Post_FL_cm","Post_Weight_g","Post_CF","Delta_CF","Site","Mesh"
"336","C",7.1,2.82,0.788,7.1,2.93,0.819,0.031,"RV","small"
"337","C",6.2,1.42,0.596,6.2,1.36,0.571,-0.025,"RV","small"
"338","C",6.3,1.63,0.652,6.4,1.83,0.698,0.046,"RV","small"
"339","C",6.1,1.39,0.612,6.2,1.6,0.671,0.059,"RV","small"
"340","C",6.3,1.66,0.664,6.5,1.88,0.685,0.021,"RV","small"
"341","C",5.4,0.95,0.603,5.7,1.23,0.664,0.061,"RV","small"
"342","C",6.5,1.48,0.539,6.5,1.67,0.608,0.069,"RV","small"
"343","C",5.3,0.81,0.544,5.4,1.04,0.66,0.116,"RV","small"
"344","C",6.2,2.03,0.852,6.6,2.23,0.776,-0.076,"RV","small"
"345","C",5.7,1.26,0.68,6,1.6,0.741,0.061,"RV","small"
"346","C",6.2,1.79,0.751,6,2.05,0.949,0.198,"RV","small"
"347","C",5.9,1.17,0.57,5.9,1.3,0.633,0.063,"RV","small"
"348","C",7,2.7,0.787,7,2.85,0.831,0.044,"RV","small"
"349","C",6.2,1.67,0.701,6.4,1.93,0.736,0.035,"RV","small"
"350","C",5.5,1.03,0.619,5.7,1.25,0.675,0.056,"RV","small"
"351","C",5.6,1.12,0.638,5.4,1.15,0.73,0.092,"RV","small"
"352","C",5.9,1.24,0.604,5.9,1.33,0.648,0.044,"RV","small"
"353","C",5.2,0.95,0.676,5.4,1.08,0.686,0.01,"RV","small"
"354","C",4.7,0.68,0.655,5,0.9,0.72,0.065,"RV","small"
"355","C",6,1.72,0.796,6.2,1.86,0.78,-0.016,"RV","small"
"356","C",6.5,1.64,0.597,6.5,1.85,0.674,0.077,"RV","small"
"357","C",6.5,2.1,0.765,6.5,2.11,0.768,0.003,"RV","small"
"358","C",6.7,1.97,0.655,6.7,2.1,0.698,0.043,"RV","small"
"359","C",6,1.43,0.662,6.1,1.63,0.718,0.056,"RV","small"
"360","C",5.4,0.95,0.603,5.4,1.23,0.781,0.178,"RV","small"
"361","C",6,1.33,0.616,6.4,1.56,0.595,-0.021,"RV","small"
"362","C",5.6,1.18,0.672,5.8,1.36,0.697,0.025,"RV","small"
"363","C",5.5,1.02,0.613,5.8,1.25,0.641,0.028,"RV","small"
"364","C",5.1,0.8,0.603,5.4,1.12,0.711,0.108,"RV","small"
"365","C",6,1.61,0.745,6.3,1.65,0.66,-0.085,"RV","small"
"366","C",6,1.35,0.625,6,1.52,0.704,0.079,"RV","small"
"367","C",6.4,1.78,0.679,6.7,1.83,0.608,-0.071,"RV","small"
"368","D",5.8,1.32,0.677,5.5,1.08,0.649,-0.028,"DWSC","small"
"369","D",5.4,1.02,0.648,5.6,0.81,0.461,-0.187,"DWSC","small"
"370","D",6.8,1.87,0.595,7.8,1.5,0.316,-0.279,"DWSC","small"
"371","D",6.3,1.43,0.572,6.2,1.19,0.499,-0.073,"DWSC","small"
"372","D",6,1.32,0.611,5.8,0.97,0.497,-0.114,"DWSC","small"
"373","D",5.3,1.15,0.772,5.2,0.89,0.633,-0.139,"DWSC","small"
"374","D",5.6,1.13,0.643,5.7,1.06,0.572,-0.071,"DWSC","small"
"375","D",NA,NA,NA,6.2,1.09,0.457,NA,"DWSC","small"
"376","D",5,0.84,0.672,5.2,0.65,0.462,-0.21,"DWSC","small"
"377","D",6.6,1.88,0.654,6.6,1.62,0.563,-0.091,"DWSC","small"
"378","D",5.5,1.03,0.619,5.7,0.89,0.481,-0.138,"DWSC","small"
"379","D",6.2,1.65,0.692,6.4,1.39,0.53,-0.162,"DWSC","small"
"380","D",NA,NA,NA,5.6,0.91,0.518,NA,"DWSC","small"
"381","D",6.4,1.76,0.671,6.4,1.45,0.553,-0.118,"DWSC","small"
"382","D",6.4,1.74,0.664,6.5,0.96,0.35,-0.314,"DWSC","small"
"383","D",6,1.42,0.657,6.2,1.15,0.483,-0.174,"DWSC","small"
"384","D",6.5,1.59,0.579,6.4,1.15,0.439,-0.14,"DWSC","small"
"385","D",6.3,1.27,0.508,6.3,0.98,0.392,-0.116,"DWSC","small"
"386","D",5.8,1.21,0.62,5.8,1.09,0.559,-0.061,"DWSC","small"
"387","D",5.8,1.54,0.789,6.3,1.31,0.524,-0.265,"DWSC","small"
"388","D",NA,NA,NA,6.2,1.12,0.47,NA,"DWSC","small"
"389","D",5.5,0.93,0.559,5.5,0.79,0.475,-0.084,"DWSC","small"
"390","D",6.3,1.68,0.672,6.5,1.63,0.594,-0.078,"DWSC","small"
"391","D",5.8,1.41,0.723,6,1.29,0.597,-0.126,"DWSC","small"
"392","D",5.6,0.9,0.512,5.7,0.81,0.437,-0.075,"DWSC","small"
"393","D",6.4,1.76,0.671,6.4,1.53,0.584,-0.087,"DWSC","small"
"394","D",6.3,1.87,0.748,6.4,1.24,0.473,-0.275,"DWSC","small"
"395","D",6.5,2.02,0.736,6.6,1.88,0.654,-0.082,"DWSC","small"
"396","D",6.2,1.59,0.667,6,1.43,0.662,-0.005,"DWSC","small"
"397","D",5.3,0.92,0.618,5.5,0.81,0.487,-0.131,"DWSC","small"
"398","D",6.6,1.7,0.591,5.3,1.33,0.893,0.302,"DWSC","small"
"399","D",6.2,1.79,0.751,6.2,1.68,0.705,-0.046,"DWSC","small"
"400","D",6.3,1.83,0.732,6.4,1.65,0.629,-0.103,"DWSC","small"
"401","D",6.5,1.73,0.63,6.3,1.44,0.576,-0.054,"DWSC","small"
"402","D",6.8,2.06,0.655,6.7,1.86,0.618,-0.037,"DWSC","small"
"403","D",6.2,1.84,0.772,6.7,1.61,0.535,-0.237,"DWSC","small"
"404","D",5.4,1.1,0.699,5.5,0.94,0.565,-0.134,"DWSC","small"
"405","D",7,2.49,0.726,7,2.2,0.641,-0.085,"DWSC","small"
"406","D",6.4,1.84,0.702,6.7,1.61,0.535,-0.167,"DWSC","small"
"407","D",6.5,1.97,0.717,6.5,1.66,0.604,-0.113,"DWSC","small"
"408","D",6.8,1.98,0.63,6.4,1.7,0.648,0.018,"DWSC","small"
"409","D",6,1.21,0.56,6,0.93,0.431,-0.129,"DWSC","small"
"410","D",5,0.85,0.68,5,0.76,0.608,-0.072,"DWSC","small"
"411","D",6.5,1.69,0.615,6.5,1.24,0.452,-0.163,"DWSC","small"
"412","D",5.9,1.23,0.599,6,1.01,0.468,-0.131,"DWSC","small"
"413","D",6.4,1.65,0.629,6.2,1.47,0.617,-0.012,"DWSC","small"
"414","D",6.3,1.82,0.728,6.5,1.55,0.564,-0.164,"DWSC","small"
"415","D",NA,NA,NA,5.5,0.72,0.433,NA,"DWSC","small"
"416","D",5.8,1.25,0.641,5.6,1.08,0.615,-0.026,"DWSC","small"
"417","D",5.5,0.88,0.529,5.5,0.66,0.397,-0.132,"DWSC","small"
"418","D",6.5,1.98,0.721,6.5,1.64,0.597,-0.124,"DWSC","small"
"419","D",5.9,1.57,0.764,6.1,1.54,0.678,-0.086,"DWSC","small"
"420","D",6.3,1.54,0.616,6.4,1.41,0.538,-0.078,"DWSC","small"
"421","D",5.8,1.04,0.533,6.2,0.78,0.327,-0.206,"DWSC","small"
"422","D",6.7,1.99,0.662,6.7,1.63,0.542,-0.12,"DWSC","small"
"423","D",6.9,2.48,0.755,7.2,2.15,0.576,-0.179,"DWSC","small"
"424","D",NA,NA,NA,6.5,1.69,0.615,NA,"DWSC","small"
"425","D",6.4,1.8,0.687,6.5,1.56,0.568,-0.119,"DWSC","small"
"426","D",6.3,1.6,0.64,6.4,1.28,0.488,-0.152,"DWSC","small"
"427","D",NA,NA,NA,5.6,1.16,0.661,NA,"RV","small"
"428","D",NA,NA,NA,5.9,1.33,0.648,NA,"RV","small"
"429","D",5.5,1.09,0.655,5.8,1.22,0.625,-0.03,"RV","small"
"430","D",6.2,2.02,0.848,6.3,2.26,0.904,0.056,"RV","small"
"431","D",6.3,1.65,0.66,6.5,1.72,0.626,-0.034,"RV","small"
"432","D",5.6,1.11,0.632,6,1.39,0.644,0.012,"RV","small"
"433","D",6.4,1.88,0.717,6.8,2,0.636,-0.081,"RV","small"
"434","D",5.8,1.12,0.574,6.1,1.35,0.595,0.021,"RV","small"
"435","D",6.3,1.4,0.56,6.5,1.65,0.601,0.041,"RV","small"
"436","D",6.3,1.22,0.488,6.2,1.35,0.566,0.078,"RV","small"
"437","D",6.6,1.66,0.577,6.7,1.95,0.648,0.071,"RV","small"
"438","D",6.5,1.46,0.532,6.7,1.94,0.645,0.113,"RV","small"
"439","D",5.6,1.04,0.592,6,1.3,0.602,0.01,"RV","small"
"440","D",5.7,1.27,0.686,6,1.4,0.648,-0.038,"RV","small"
"441","D",4.9,0.6,0.51,4.9,0.71,0.603,0.093,"RV","small"
"442","D",6.5,1.94,0.706,6.6,2.03,0.706,0,"RV","small"
"443","D",NA,NA,NA,6,1.64,0.759,NA,"RV","small"
"444","D",5.8,1.17,0.6,6,1.34,0.62,0.02,"RV","small"
"445","D",5.7,1.2,0.648,5.9,1.38,0.672,0.024,"RV","small"
"446","D",6,1.43,0.662,6.1,1.48,0.652,-0.01,"RV","small"
"447","D",6.4,2.04,0.778,6.6,2.2,0.765,-0.013,"RV","small"
"448","D",5.5,0.95,0.571,5.6,1.15,0.655,0.084,"RV","small"
"449","D",6.1,1.45,0.639,6.4,1.72,0.656,0.017,"RV","small"
"450","D",5.4,0.97,0.616,5.5,1.03,0.619,0.003,"RV","small"
"451","D",6.3,1.69,0.676,6.4,1.86,0.71,0.034,"RV","small"
"452","D",6,1.12,0.519,6.1,1.36,0.599,0.08,"RV","small"
"453","D",5.2,1.1,0.782,5.9,1.22,0.594,-0.188,"RV","small"
"454","D",5.4,0.98,0.622,5.8,1.2,0.615,-0.007,"RV","small"
"455","D",5.9,1.1,0.536,6.1,1.36,0.599,0.063,"RV","small"
"456","D",6.5,1.85,0.674,6.5,2.04,0.743,0.069,"RV","small"
"457","D",6,1.63,0.755,6.3,1.84,0.736,-0.019,"RV","small"
"458","D",6,1.28,0.593,6,1.38,0.639,0.046,"RV","small"
"459","D",5.5,1.18,0.709,5.9,1.33,0.648,-0.061,"RV","small"
"460","D",6.3,1.86,0.744,6.6,2.11,0.734,-0.01,"RV","small"
"461","D",6.1,1.31,0.577,6.2,1.47,0.617,0.04,"RV","small"
"462","D",6.2,1.85,0.776,6.2,2.01,0.843,0.067,"RV","small"
"463","D",6.8,2.2,0.7,7,2.37,0.691,-0.009,"RV","small"
"464","D",6,1.33,0.616,5.8,1.47,0.753,0.137,"RV","small"
"465","D",6.1,1.76,0.775,6.4,1.82,0.694,-0.081,"RV","small"
"466","D",5.6,1.15,0.655,6.1,1.41,0.621,-0.034,"RV","small"
"467","D",NA,NA,NA,5.3,0.92,0.618,NA,"RV","small"
"468","D",NA,NA,NA,6.6,2.11,0.734,NA,"RV","small"
"469","D",6.4,1.83,0.698,6.5,1.92,0.699,0.001,"RV","small"
"470","D",6.3,1.96,0.784,6.5,2.15,0.783,-0.001,"RV","small"
"471","D",5.7,0.9,0.486,5.8,1.06,0.543,0.057,"RV","small"
"472","D",5.2,1.29,0.917,6,1.51,0.699,-0.218,"RV","small"
"473","D",6,1.58,0.731,6.1,1.7,0.749,0.018,"RV","small"
"474","D",6,1.44,0.667,6.2,1.56,0.655,-0.012,"RV","small"
"475","D",5.3,0.96,0.645,5.8,1.27,0.651,0.006,"RV","small"
"476","D",6.6,2.17,0.755,6.8,2.27,0.722,-0.033,"RV","small"
"477","D",NA,NA,NA,5.9,1.41,0.687,NA,"RV","small"
"478","D",5.7,1.14,0.616,5.9,1.28,0.623,0.007,"RV","small"
"479","D",5.9,1.28,0.623,6,1.41,0.653,0.03,"DWSC","small"
"480","D",6,1.47,0.681,6.5,1.89,0.688,0.007,"RV","small"
"481","D",6.3,1.76,0.704,6.5,1.89,0.688,-0.016,"RV","small"
"482","D",6.1,1.49,0.656,6.2,1.61,0.676,0.02,"RV","small"
"483","D",6.3,1.51,0.604,6.5,1.76,0.641,0.037,"RV","small"
"484","D",5.6,1.1,0.626,5.9,1.34,0.652,0.026,"RV","small"
"485","D",5.4,1.01,0.641,5.6,1.18,0.672,0.031,"RV","small"
"486","D",5.6,1.23,0.7,5.8,1.38,0.707,0.007,"RV","small"
"487","D",6,1.44,0.667,6.4,1.64,0.626,-0.041,"RV","small"
"488","D",5.9,1.25,0.609,6.1,1.5,0.661,0.052,"RV","small"
"489","D",5.5,0.95,0.571,6,1.25,0.579,0.008,"RV","small"
"490","D",NA,NA,NA,6.3,1.56,0.624,NA,"RV","small"
"491","D",4.9,0.68,0.578,5.2,0.96,0.683,0.105,"RV","small"
"492","E",5.7,1.16,0.626,5.6,1.04,0.592,-0.034,"DWSC","wrap"
"493","E",6.4,1.73,0.66,6.4,1.55,0.591,-0.069,"DWSC","wrap"
"494","E",6.8,2.07,0.658,6.8,1.77,0.563,-0.095,"DWSC","wrap"
"495","E",6,1.67,0.773,6.1,1.52,0.67,-0.103,"DWSC","wrap"
"496","E",5.5,0.99,0.595,5.5,0.8,0.481,-0.114,"DWSC","wrap"
"497","E",6.4,1.65,0.629,6.2,1.38,0.579,-0.05,"DWSC","wrap"
"498","E",6.8,1.87,0.595,6.7,1.79,0.595,0,"DWSC","wrap"
"499","E",6,1.39,0.644,6.1,1.3,0.573,-0.071,"DWSC","wrap"
"500","E",6.3,2.05,0.82,6.4,1.86,0.71,-0.11,"DWSC","wrap"
"501","E",6.4,1.61,0.614,6.4,1.37,0.523,-0.091,"DWSC","wrap"
"502","E",6,1.25,0.579,6.1,1.05,0.463,-0.116,"DWSC","wrap"
"503","E",5.8,1.35,0.692,6,1.17,0.542,-0.15,"DWSC","wrap"
"504","E",6.3,1.5,0.6,6.3,1.28,0.512,-0.088,"DWSC","wrap"
"505","E",6.3,1.76,0.704,6.2,1.39,0.583,-0.121,"DWSC","wrap"
"506","E",5.3,1.1,0.739,5.6,1.14,0.649,-0.09,"DWSC","wrap"
"507","E",5.6,1.11,0.632,5.5,0.93,0.559,-0.073,"DWSC","wrap"
"508","E",6.5,1.87,0.681,6.5,1.12,0.408,-0.273,"DWSC","wrap"
"509","E",6.4,1.87,0.713,6.4,1.53,0.584,-0.129,"DWSC","wrap"
"510","E",NA,NA,NA,6.8,2.16,0.687,NA,"DWSC","wrap"
"511","E",6.1,1.64,0.723,6.2,1.38,0.579,-0.144,"DWSC","wrap"
"512","E",6.5,2.11,0.768,6.6,1.81,0.63,-0.138,"DWSC","wrap"
"513","E",6.3,1.73,0.692,6.4,1.56,0.595,-0.097,"DWSC","wrap"
"514","E",6.4,1.8,0.687,5.7,0.96,0.518,-0.169,"DWSC","wrap"
"515","E",6.6,1.25,0.435,5.8,1.11,0.569,0.134,"DWSC","wrap"
"516","E",NA,NA,NA,5.5,1.12,0.673,NA,"DWSC","wrap"
"517","E",6.6,1.7,0.591,6.5,1.42,0.517,-0.074,"DWSC","wrap"
"518","E",6.7,1.92,0.638,6.5,1.51,0.55,-0.088,"DWSC","wrap"
"519","E",6.4,1.8,0.687,6.4,1.55,0.591,-0.096,"DWSC","wrap"
"520","E",6.5,2.01,0.732,6.6,1.81,0.63,-0.102,"DWSC","wrap"
"521","E",5.6,1.31,0.746,5.8,1.23,0.63,-0.116,"DWSC","wrap"
"522","E",6.5,2.11,0.768,6.5,1.48,0.539,-0.229,"DWSC","wrap"
"523","E",5.7,1.04,0.562,5.6,0.8,0.456,-0.106,"DWSC","wrap"
"524","E",NA,NA,NA,5.5,1.02,0.613,NA,"DWSC","wrap"
"525","E",6,1.19,0.551,6,0.89,0.412,-0.139,"DWSC","wrap"
"526","E",6,1.26,0.583,6.2,1.04,0.436,-0.147,"DWSC","wrap"
"527","E",6.4,1.91,0.729,6.5,1.88,0.685,-0.044,"DWSC","wrap"
"528","E",6,1.31,0.606,6,1.27,0.588,-0.018,"DWSC","wrap"
"529","E",5.6,1.14,0.649,5.6,0.94,0.535,-0.114,"DWSC","wrap"
"530","E",5.7,1.09,0.589,5.7,0.83,0.448,-0.141,"DWSC","wrap"
"531","E",6.6,1.76,0.612,6.5,1.55,0.564,-0.048,"DWSC","wrap"
"532","E",6.5,1.98,0.721,6.4,1.86,0.71,-0.011,"DWSC","wrap"
"533","E",6.7,1.92,0.638,6.6,1.56,0.543,-0.095,"DWSC","wrap"
"534","E",5.8,1.49,0.764,6,1.47,0.681,-0.083,"DWSC","wrap"
"535","E",5.9,1.22,0.594,5.8,1,0.513,-0.081,"DWSC","wrap"
"536","E",5.9,1.36,0.662,5.7,1.24,0.67,0.008,"DWSC","wrap"
"537","E",5.8,1.14,0.584,5.9,0.91,0.443,-0.141,"DWSC","wrap"
"538","E",6.2,1.47,0.617,6.1,1.18,0.52,-0.097,"DWSC","wrap"
"539","E",5.4,1.04,0.66,5.4,0.9,0.572,-0.088,"DWSC","wrap"
"540","E",4.9,0.9,0.765,5,0.96,0.768,0.003,"RV","wrap"
"541","E",5.6,1.23,0.7,5.7,1.33,0.718,0.018,"RV","wrap"
"542","E",6.4,1.76,0.671,6.6,1.68,0.584,-0.087,"RV","wrap"
"543","E",6.3,1.66,0.664,6.2,1.7,0.713,0.049,"RV","wrap"
"544","E",5.9,1.08,0.526,6.1,1.25,0.551,0.025,"RV","wrap"
"545","E",6.5,2.06,0.75,6.1,2.08,0.916,0.166,"RV","wrap"
"546","E",6.3,1.6,0.64,6.1,1.64,0.723,0.083,"RV","wrap"
"547","E",6.2,1.46,0.613,5.9,1.49,0.725,0.112,"RV","wrap"
"548","E",4.9,0.65,0.552,5,0.87,0.696,0.144,"RV","wrap"
"549","E",5.8,1.45,0.743,6.1,1.61,0.709,-0.034,"RV","wrap"
"550","E",6.2,1.36,0.571,6.3,1.45,0.58,0.009,"RV","wrap"
"551","E",6.3,1.76,0.704,6.5,1.91,0.695,-0.009,"RV","wrap"
"552","E",5.6,1.2,0.683,5.6,1.35,0.769,0.086,"RV","wrap"
"553","E",NA,NA,NA,5.5,1,0.601,NA,"RV","wrap"
"554","E",5.4,0.9,0.572,5.8,1.16,0.595,0.023,"RV","wrap"
"555","E",5.2,0.95,0.676,5.3,1.02,0.685,0.009,"RV","wrap"
"556","E",6.4,1.6,0.61,6.3,1.91,0.764,0.154,"RV","wrap"
"557","E",6.3,1.69,0.676,6.2,1.76,0.738,0.062,"RV","wrap"
"558","E",5.3,0.92,0.618,5.5,1.07,0.643,0.025,"RV","wrap"
"559","E",5.6,1.12,0.638,5.8,1.3,0.666,0.028,"RV","wrap"
"560","E",5.9,1.1,0.536,5.9,0.85,0.414,-0.122,"DWSC","wrap"
"561","E",6.3,1.37,0.548,6.3,1.04,0.416,-0.132,"DWSC","wrap"
"562","E",6.5,1.7,0.619,6.5,1.43,0.521,-0.098,"DWSC","wrap"
"563","E",6.5,1.87,0.681,6.5,1.67,0.608,-0.073,"DWSC","wrap"
"564","E",6,1.66,0.769,6,1.49,0.69,-0.079,"DWSC","wrap"
"565","E",6.5,2.14,0.779,6.6,1.94,0.675,-0.104,"DWSC","wrap"
"566","E",5,0.91,0.728,5.2,0.78,0.555,-0.173,"DWSC","wrap"
"567","E",6.3,1.45,0.58,6.3,1.21,0.484,-0.096,"DWSC","wrap"
"568","E",5.6,0.98,0.558,5.7,0.75,0.405,-0.153,"DWSC","wrap"
"569","E",6.3,1.75,0.7,6.3,1.54,0.616,-0.084,"DWSC","wrap"
"570","E",NA,NA,NA,6.6,1.65,0.574,NA,"DWSC","wrap"
"571","E",6.5,1.8,0.655,6.5,1.39,0.506,-0.149,"DWSC","wrap"
"572","E",6.8,2.58,0.821,6.9,2.66,0.81,-0.011,"RV","wrap"
"573","E",4.9,0.85,0.722,5.5,1.07,0.643,-0.079,"RV","wrap"
"574","E",6.3,1.57,0.628,6.5,1.7,0.619,-0.009,"RV","wrap"
"575","E",5.7,1.28,0.691,6.2,1.52,0.638,-0.053,"RV","wrap"
"576","E",6,1.19,0.551,5.8,1.32,0.677,0.126,"RV","wrap"
"577","E",5.5,1.06,0.637,5.9,1.38,0.672,0.035,"RV","wrap"
"578","E",5.6,1.17,0.666,5.8,1.37,0.702,0.036,"RV","wrap"
"579","E",5.8,1.07,0.548,5.9,1.62,0.789,0.241,"RV","wrap"
"580","E",7,2.74,0.799,7.2,2.8,0.75,-0.049,"RV","wrap"
"581","E",6.5,2.04,0.743,6.5,2.26,0.823,0.08,"RV","wrap"
"582","E",5.5,1.09,0.655,5.7,1.31,0.707,0.052,"RV","wrap"
"583","E",NA,NA,NA,6.2,1.81,0.759,NA,"RV","wrap"
"584","E",6,1.8,0.833,6.2,1.7,0.713,-0.12,"RV","wrap"
"585","E",6.7,2.17,0.721,6.7,2.29,0.761,0.04,"RV","wrap"
"586","E",5,0.97,0.776,6.1,1.58,0.696,-0.08,"RV","wrap"
"587","E",5.1,0.91,0.686,5.5,1.15,0.691,0.005,"RV","wrap"
"588","E",6.1,1.59,0.7,6.4,1.72,0.656,-0.044,"RV","wrap"
"589","E",6.4,1.48,0.565,6.6,1.73,0.602,0.037,"RV","wrap"
"590","E",6,1.48,0.685,6.1,1.63,0.718,0.033,"RV","wrap"
"591","E",6,1.49,0.69,5.9,1.7,0.828,0.138,"RV","wrap"
"592","E",5.3,0.94,0.631,5.3,1.1,0.739,0.108,"RV","wrap"
"593","E",5.5,0.98,0.589,5.8,1.32,0.677,0.088,"RV","wrap"
"594","E",6.1,1.63,0.718,6.4,1.9,0.725,0.007,"RV","wrap"
"595","E",6.8,1.92,0.611,7,2.22,0.647,0.036,"RV","wrap"
"596","E",5.8,1.21,0.62,5.8,1.28,0.656,0.036,"RV","wrap"
"597","E",5.7,1.24,0.67,5.6,1.3,0.74,0.07,"RV","wrap"
"598","E",5.2,0.91,0.647,5.5,1.1,0.661,0.014,"RV","wrap"
"599","E",6,1.5,0.694,6.8,1.42,0.452,-0.242,"RV","wrap"
"600","E",5.3,1.06,0.712,5.3,1.11,0.746,0.034,"RV","wrap"
"601","E",5.7,1.44,0.778,5.8,1.41,0.723,-0.055,"RV","wrap"
"602","E",6.4,2.13,0.813,6.3,2.22,0.888,0.075,"RV","wrap"
"603","E",5.8,1.18,0.605,5.8,1.28,0.656,0.051,"RV","wrap"
"604","E",4.6,0.59,0.606,4.8,0.75,0.678,0.072,"RV","wrap"
"605","E",5.4,0.91,0.578,5.6,1.2,0.683,0.105,"RV","wrap"
"606","E",5.8,1.32,0.677,5.7,1.47,0.794,0.117,"RV","wrap"
"607","E",5.7,1.1,0.594,5.7,1.32,0.713,0.119,"RV","wrap"
"608","E",5.9,1.32,0.643,6.2,1.68,0.705,0.062,"RV","wrap"
"609","E",5.5,0.93,0.559,5.7,1.08,0.583,0.024,"RV","wrap"
"610","E",6,1.15,0.532,6,1.47,0.681,0.149,"RV","wrap"
"611","E",5.6,1.2,0.683,5.9,1.42,0.691,0.008,"RV","wrap"
"612","E",5,0.88,0.704,5.4,1.05,0.667,-0.037,"RV","wrap"
"613","E",5.4,0.88,0.559,5.4,0.97,0.616,0.057,"RV","wrap"
"614","E",5.4,1.12,0.711,5.6,1.23,0.7,-0.011,"RV","wrap"
"615","F",6,1.45,0.671,6,1.22,0.565,-0.106,"DWSC","large"
"616","F",5.5,0.99,0.595,5.5,0.75,0.451,-0.144,"DWSC","large"
"617","F",6.6,1.91,0.664,6.5,1.8,0.655,-0.009,"DWSC","large"
"618","F",7.3,3.14,0.807,7.4,2.91,0.718,-0.089,"DWSC","large"
"619","F",6.3,1.48,0.592,6.2,1.02,0.428,-0.164,"DWSC","large"
"620","F",5.4,1.05,0.667,5.9,0.9,0.438,-0.229,"DWSC","large"
"621","F",4.9,0.49,0.416,4.7,0.37,0.356,-0.06,"DWSC","large"
"622","F",5.6,1.09,0.621,5.7,0.96,0.518,-0.103,"DWSC","large"
"623","F",6.9,2.51,0.764,7,1.48,0.431,-0.333,"DWSC","large"
"624","F",6.4,1.71,0.652,6.5,1.42,0.517,-0.135,"DWSC","large"
"625","F",5.5,1.19,0.715,5.5,0.96,0.577,-0.138,"DWSC","large"
"626","F",6.4,1.66,0.633,6,1.47,0.681,0.048,"DWSC","large"
"627","F",7.1,2.62,0.732,7,2.12,0.618,-0.114,"DWSC","large"
"628","F",7,2.76,0.805,7.2,1.74,0.466,-0.339,"DWSC","large"
"629","F",6.1,1.58,0.696,6.2,1.44,0.604,-0.092,"DWSC","large"
"630","F",6.5,1.95,0.71,6.5,1.69,0.615,-0.095,"DWSC","large"
"631","F",NA,NA,NA,6,1.32,0.611,NA,"DWSC","large"
"632","F",6.5,1.53,0.557,6.5,1.2,0.437,-0.12,"DWSC","large"
"633","F",5.8,1.46,0.748,6.2,1.38,0.579,-0.169,"DWSC","large"
"634","F",7,1.98,0.577,6.5,1.7,0.619,0.042,"DWSC","large"
"635","F",6,1.15,0.532,6,1,0.463,-0.069,"DWSC","large"
"636","F",NA,NA,NA,NA,0.59,NA,NA,"DWSC","large"
"637","F",6.5,1.99,0.725,6.2,1.52,0.638,-0.087,"DWSC","large"
"638","F",6,1.74,0.806,6,1.67,0.773,-0.033,"DWSC","large"
"639","F",5.9,1.41,0.687,6,1.07,0.495,-0.192,"DWSC","large"
"640","F",6.2,1.67,0.701,6.3,1.42,0.568,-0.133,"DWSC","large"
"641","F",NA,NA,NA,6.3,1.67,0.668,NA,"DWSC","large"
"642","F",NA,NA,NA,6.5,1.52,0.553,NA,"DWSC","large"
"643","F",6,1.16,0.537,6,0.91,0.421,-0.116,"DWSC","large"
"644","F",7,2.34,0.682,7,2.15,0.627,-0.055,"DWSC","large"
"645","F",6.3,1.4,0.56,6.4,1.04,0.397,-0.163,"DWSC","large"
"646","F",6.2,1.54,0.646,6,1.37,0.634,-0.012,"DWSC","large"
"647","F",5.4,1.02,0.648,4.9,0.84,0.714,0.066,"DWSC","large"
"648","F",6.5,2.01,0.732,6.5,1.85,0.674,-0.058,"DWSC","large"
"649","F",6,1.31,0.606,6.2,1.05,0.441,-0.165,"DWSC","large"
"650","F",5.8,1.17,0.6,6,0.91,0.421,-0.179,"DWSC","large"
"651","F",5.7,1.16,0.626,5.8,0.83,0.425,-0.201,"DWSC","large"
"652","F",4.8,0.71,0.642,4.8,0.56,0.506,-0.136,"DWSC","large"
"653","F",6.2,1.62,0.68,6.1,1.31,0.577,-0.103,"DWSC","large"
"654","F",6.8,2.14,0.681,7,1.91,0.557,-0.124,"DWSC","large"
"655","F",5.8,1.23,0.63,5.5,1.05,0.631,0.001,"DWSC","large"
"656","F",NA,NA,NA,6,1.33,0.616,NA,"DWSC","large"
"657","F",6,1.71,0.792,6.2,1.51,0.634,-0.158,"DWSC","large"
"658","F",6.5,1.77,0.645,6.6,1.49,0.518,-0.127,"DWSC","large"
"659","F",5.6,1.28,0.729,5.8,1.19,0.61,-0.119,"DWSC","large"
"660","F",6.5,1.99,0.725,6.9,1.74,0.53,-0.195,"DWSC","large"
"661","F",6.5,1.77,0.645,6,1.39,0.644,-0.001,"DWSC","large"
"662","F",7.3,3.31,0.851,7.5,3.3,0.782,-0.069,"DWSC","large"
"663","F",6,1.38,0.639,6,1.36,0.63,-0.009,"DWSC","large"
"664","F",NA,NA,NA,6.5,1.46,0.532,NA,"DWSC","large"
"665","F",5.9,1.44,0.701,5.8,1.21,0.62,-0.081,"DWSC","large"
"666","F",5.7,1.11,0.599,5.8,0.98,0.502,-0.097,"DWSC","large"
"667","F",6.6,1.94,0.675,6.7,1.46,0.485,-0.19,"DWSC","large"
"668","F",5.6,1.05,0.598,5.7,0.78,0.421,-0.177,"DWSC","large"
"669","F",7,2.16,0.63,7,1.82,0.531,-0.099,"DWSC","large"
"670","F",6.3,1.97,0.788,6.7,1.85,0.615,-0.173,"DWSC","large"
