Cage,Tag,Pre_FL_cm,Pre_Weight_g,Pre_CF,Post_FL_cm,Post_Weight_g,Post_CF,Delta_CF,Pre_post_Match
FC1,RA52,6.5,1.58,0.575,5.2,0.98,0.696973145,0.12164315,Y
FC1,RG74,5.8,1.19,0.61,5.7,0.86,0.464380403,-0.145525702,Y
FC1,RH90,6,1.33,0.616,6,1.15,0.532407407,-0.083333333,Y
FC1,OO23,5.9,1.47,0.716,5.8,1.27,0.650908196,-0.06484171,Y
FC1,RC44,5.7,1.11,0.599,5.5,0.72,0.432757325,-0.166617381,Y
FC1,RJ46,5.1,0.75,0.565,4.9,0.5,0.424992988,-0.140400413,Y
FC2,RH91,6.5,1.9,0.692,6.3,1.64,0.655876695,-0.035975831,Y
FC2,RG06,6.6,1.89,0.657,6.2,1.39,0.583229835,-0.074170616,Y
FC2,RJ26,6.5,1.59,0.579,6.2,1.13,0.474136484,-0.10483484,Y
FC2,RK59,6.5,2.11,0.768,6.4,1.95,0.743865967,-0.02445447,Y
FC2,RA01,6.9,2.22,0.676,6.6,1.49,0.51826808,-0.157512492,Y
FC2,RK22,4.9,0.61,0.518,6,1.27,0.587962963,0.069471518,Y
FC2,RA36,6.8,2.29,0.728,6.6,2.04,0.70957509,-0.018722285,Y
FC2,OO44,6,1.72,0.796,6,1.51,0.699074074,-0.097222222,Y
FC2,RA42,6.6,2.04,0.71,6.5,1.17,0.426035503,-0.283539587,Y
FC2,RL32,6.2,1.78,0.747,6.1,1.51,0.66525392,-0.08161594,Y
FC2,RC01,6.4,1.56,0.595,6.3,1.11,0.443916544,-0.15117623,Y
FC2,RB64,6.1,1.81,0.797,6.1,1.26,0.555112542,-0.24231103,Y
FC2,RK53,5.8,1.33,0.682,5.8,1.07,0.548402969,-0.133256796,Y
FC2,NT21,NA,NA,NA,5.3,0.68,0.45675289,NA,N
FC2,RC84,7,2.63,0.767,6.9,2.28,0.694044912,-0.072718936,Y
FC2,RL61,6.8,2.62,0.833,6.8,1.74,0.553378791,-0.279869733,Y
FC2,RG73,5.9,1.53,0.745,6,1.17,0.541666667,-0.203297521,Y
FC2,RL08,6.4,1.88,0.717,6.5,1.65,0.600819299,-0.116343787,Y
FC2,RB36,6,1.07,0.495,6.2,1.32,0.553858548,0.058488178,Y
FC2,RJ42,5.5,1.06,0.637,5.5,0.92,0.552967693,-0.084147258,Y
FC2,RC80,6.2,1.45,0.608,6.2,1.25,0.524487261,-0.083917962,Y
FC2,RI76,6,1.48,0.685,6,1.18,0.546296296,-0.138888889,Y
FC2,RD45,5.8,1.44,0.738,5.9,1.28,0.623238014,-0.114799626,Y
FC2,RF15,5.6,1.08,0.615,5.6,0.7,0.398596939,-0.216381195,Y
FC2,RD54,5.7,1.01,0.545,5.6,0.73,0.415679665,-0.12969732,Y
FC2,RD34,5.5,1.16,0.697,5.4,0.94,0.596961845,-0.10025829,Y
